paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
900000082,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品32,show_equip_icon_atlas_0,900000082,900000082,900000082
900000083,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品33,show_equip_icon_atlas_0,900000083,900000083,900000083
900000084,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品34,show_equip_icon_atlas_0,900000084,900000084,900000084
900000085,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品35,show_equip_icon_atlas_0,900000085,900000085,900000085
900000086,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品36,show_equip_icon_atlas_0,900000086,900000086,900000086
900000087,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品37,show_equip_icon_atlas_0,900000087,900000087,900000087
900000088,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品38,show_equip_icon_atlas_0,900000088,900000088,900000088
900000089,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品39,show_equip_icon_atlas_0,900000089,900000089,900000089
900000090,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品40,show_equip_icon_atlas_0,900000090,900000090,900000090
900000091,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品41,show_equip_icon_atlas_0,900000091,900000091,900000091
900000092,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品42,show_equip_icon_atlas_0,900000092,900000092,900000092
900000093,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品43,show_equip_icon_atlas_0,900000093,900000093,900000093
900000094,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品44,show_equip_icon_atlas_0,900000094,900000094,900000094
900000095,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品45,show_equip_icon_atlas_0,900000095,900000095,900000095
900000096,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品46,show_equip_icon_atlas_0,900000096,900000096,900000096
900000097,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品47,show_equip_icon_atlas_0,900000097,900000097,900000097
900000098,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品48,show_equip_icon_atlas_0,900000098,900000098,900000098
900000099,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品49,show_equip_icon_atlas_0,900000099,900000099,900000099
900000100,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品50,show_equip_icon_atlas_0,900000100,900000100,900000100
900000101,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品51,show_equip_icon_atlas_0,900000101,900000101,900000101
900000102,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品52,show_equip_icon_atlas_0,900000102,900000102,900000102
900000103,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品53,show_equip_icon_atlas_0,900000103,900000103,900000103
900000104,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品54,show_equip_icon_atlas_0,900000104,900000104,900000104
900000105,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品55,show_equip_icon_atlas_0,900000105,900000105,900000105
900000106,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品56,show_equip_icon_atlas_0,900000106,900000106,900000106
900000107,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品57,show_equip_icon_atlas_0,900000107,900000107,900000107
900000108,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品58,show_equip_icon_atlas_0,900000108,900000108,900000108
900000109,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品59,show_equip_icon_atlas_0,900000109,900000109,900000109
900000110,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品60,show_equip_icon_atlas_0,900000110,900000110,900000110
900000111,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品61,show_equip_icon_atlas_0,900000111,900000111,900000111
900000112,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品62,show_equip_icon_atlas_0,900000112,900000112,900000112
900000113,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品63,show_equip_icon_atlas_0,900000113,900000113,900000113
900000114,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品64,show_equip_icon_atlas_0,900000114,900000114,900000114
900000115,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品65,show_equip_icon_atlas_0,900000115,900000115,900000115
900000116,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品66,show_equip_icon_atlas_0,900000116,900000116,900000116
900000117,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品67,show_equip_icon_atlas_0,900000117,900000117,900000117
900000118,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品68,show_equip_icon_atlas_0,900000118,900000118,900000118
900000119,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品69,show_equip_icon_atlas_0,900000119,900000119,900000119
900000120,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品70,show_equip_icon_atlas_0,900000120,900000120,900000120
900000121,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品71,show_equip_icon_atlas_0,900000121,900000121,900000121
900000122,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品72,show_equip_icon_atlas_0,900000122,900000122,900000122
900000123,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品73,show_equip_icon_atlas_0,900000123,900000123,900000123
900000124,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品74,show_equip_icon_atlas_0,900000124,900000124,900000124
900000125,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品75,show_equip_icon_atlas_0,900000125,900000125,900000125
900000126,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品76,show_equip_icon_atlas_0,900000126,900000126,900000126
900000127,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品77,show_equip_icon_atlas_0,900000127,900000127,900000127
900000128,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品78,show_equip_icon_atlas_0,900000128,900000128,900000128
900000129,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品79,show_equip_icon_atlas_0,900000129,900000129,900000129
900000130,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品80,show_equip_icon_atlas_0,900000130,900000130,900000130
900000131,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品81,show_equip_icon_atlas_0,900000131,900000131,900000131
900000132,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品82,show_equip_icon_atlas_0,900000132,900000132,900000132
900000133,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品83,show_equip_icon_atlas_0,900000133,900000133,900000133
900000134,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品84,show_equip_icon_atlas_0,900000134,900000134,900000134
900000135,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品85,show_equip_icon_atlas_0,900000135,900000135,900000135
900000136,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品86,show_equip_icon_atlas_0,900000136,900000136,900000136
900000137,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品87,show_equip_icon_atlas_0,900000137,900000137,900000137
900000138,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品88,show_equip_icon_atlas_0,900000138,900000138,900000138
900000139,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品89,show_equip_icon_atlas_0,900000139,900000139,900000139
900000140,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品90,show_equip_icon_atlas_0,900000140,900000140,900000140
900000141,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品91,show_equip_icon_atlas_0,900000141,900000141,900000141
900000142,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品92,show_equip_icon_atlas_0,900000142,900000142,900000142
900000143,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品93,show_equip_icon_atlas_0,900000143,900000143,900000143
900000144,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品94,show_equip_icon_atlas_0,900000144,900000144,900000144
900000145,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品95,show_equip_icon_atlas_0,900000145,900000145,900000145
900000146,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品96,show_equip_icon_atlas_0,900000146,900000146,900000146
900000147,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品97,show_equip_icon_atlas_0,900000147,900000147,900000147
900000148,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品98,show_equip_icon_atlas_0,900000148,900000148,900000148
900000149,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品99,show_equip_icon_atlas_0,900000149,900000149,900000149
900000150,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品100,show_equip_icon_atlas_0,900000150,900000150,900000150
900000151,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品101,show_equip_icon_atlas_0,900000151,900000151,900000151
900000152,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品102,show_equip_icon_atlas_0,900000152,900000152,900000152
900000153,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品103,show_equip_icon_atlas_0,900000153,900000153,900000153
900000154,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品104,show_equip_icon_atlas_0,900000154,900000154,900000154
900000155,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品105,show_equip_icon_atlas_0,900000155,900000155,900000155
900000156,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品106,show_equip_icon_atlas_0,900000156,900000156,900000156
900000157,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品107,show_equip_icon_atlas_0,900000157,900000157,900000157
900000158,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品108,show_equip_icon_atlas_0,900000158,900000158,900000158
900000159,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品109,show_equip_icon_atlas_0,900000159,900000159,900000159
900000160,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品110,show_equip_icon_atlas_0,900000160,900000160,900000160
900001011,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品111,show_equip_icon_atlas_0,900000160,900001011,900001011
900001012,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品112,show_equip_icon_atlas_0,900000160,900001012,900001012
900001013,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品113,show_equip_icon_atlas_0,900000160,900001013,900001013
900001014,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品114,show_equip_icon_atlas_0,900000160,900001014,900001014
900001015,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品115,show_equip_icon_atlas_0,900000160,900001015,900001015
900001016,42700001,2,0,0,1,2,无,无,无,人机物品10,人机物品116,show_equip_icon_atlas_0,900000160,900001016,900001016
101011001,42711001,0,0,1,1,1,迷宫武器,火,火之,木剑,铁剑,human_robot_icon_atlas_0,42701001,42701010,900000011
101011002,42711002,0,0,1,1,1,迷宫武器,火,火之,木剑,青钢剑,human_robot_icon_atlas_0,42701002,42701010,900000011
101011003,42711003,0,0,1,1,1,迷宫武器,火,火之,木剑,流云剑,human_robot_icon_atlas_0,42701003,42701010,900000012
101011004,42711004,0,0,1,1,1,迷宫武器,火,火之,木剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701010,900000012
101011005,42711005,0,0,1,1,1,迷宫武器,火,火之,木剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701010,900000013
101011006,42711006,0,0,1,1,1,迷宫武器,火,火之,木剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701010,900000013
101011007,42711007,0,0,1,1,1,迷宫武器,火,火之,木剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701010,900000014
101011008,42711008,0,0,1,1,1,迷宫武器,火,火之,木剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701010,900000014
101011009,42711009,0,0,1,1,1,迷宫武器,火,火之,木剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701010,900000015
101011010,42711010,0,0,1,1,1,迷宫武器,火,火之,木剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701010,900000016
101011011,42711011,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011012,42711012,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011013,42711013,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011014,42711014,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011015,42711015,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011016,42711016,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011017,42711017,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011018,42711018,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011019,42711019,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011020,42711020,0,0,1,1,1,迷宫武器,火,火之,铁剑,铁剑,human_robot_icon_atlas_0,42701004,42701020,900000016
101011021,42711021,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011022,42711022,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011023,42711023,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011024,42711024,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011025,42711025,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011026,42711026,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011027,42711027,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011028,42711028,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011029,42711029,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011030,42711030,0,0,1,1,1,迷宫武器,火,火之,青钢剑,青钢剑,human_robot_icon_atlas_0,42701004,42701030,900000016
101011031,42711031,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011032,42711032,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011033,42711033,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011034,42711034,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011035,42711035,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011036,42711036,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011037,42711037,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011038,42711038,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011039,42711039,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011040,42711040,0,0,1,1,1,迷宫武器,火,火之,流云剑,流云剑,human_robot_icon_atlas_0,42701004,42701040,900000016
101011041,42711041,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011042,42711042,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011043,42711043,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011044,42711044,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011045,42711045,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011046,42711046,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011047,42711047,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011048,42711048,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011049,42711049,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011050,42711050,0,0,1,1,1,迷宫武器,火,火之,飞虹剑,飞虹剑,human_robot_icon_atlas_0,42701004,42701050,900000016
101011051,42711051,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011052,42711052,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011053,42711053,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011054,42711054,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011055,42711055,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011056,42711056,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011057,42711057,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011058,42711058,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011059,42711059,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011060,42711060,0,0,1,1,1,迷宫武器,火,火之,紫金剑,紫金剑,human_robot_icon_atlas_0,42701004,42701060,900000016
101011061,42711061,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011062,42711062,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011063,42711063,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011064,42711064,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011065,42711065,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011066,42711066,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011067,42711067,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011068,42711068,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011069,42711069,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011070,42711070,0,0,1,1,1,迷宫武器,火,火之,巨阙剑,巨阙剑,human_robot_icon_atlas_0,42701004,42701070,900000016
101011071,42711071,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011072,42711072,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011073,42711073,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011074,42711074,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011075,42711075,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011076,42711076,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011077,42711077,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011078,42711078,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011079,42711079,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011080,42711080,0,0,1,1,1,迷宫武器,火,火之,天罡剑,天罡剑,human_robot_icon_atlas_0,42701004,42701080,900000016
101011081,42711081,0,0,1,1,1,迷宫武器,火,火之,雷荧剑,雷荧剑,human_robot_icon_atlas_0,42701004,42701090,900000016
101011082,42711082,0,0,1,1,1,迷宫武器,火,火之,雷荧剑,雷荧剑,human_robot_icon_atlas_0,42701004,42701090,900000016
101011083,42711083,0,0,1,1,1,迷宫武器,火,火之,雷荧剑,雷荧剑,human_robot_icon_atlas_0,42701004,42701090,900000016
101011084,42711084,0,0,1,1,1,迷宫武器,火,火之,雷荧剑,雷荧剑,human_robot_icon_atlas_0,42701004,42701090,900000016
101011085,42711085,0,0,1,1,1,迷宫武器,火,火之,雷荧剑,雷荧剑,human_robot_icon_atlas_0,42701004,42701090,900000016
101011086,42711086,0,0,1,1,1,迷宫武器,火,火之,雷荧剑,雷荧剑,human_robot_icon_atlas_0,42701004,42701090,900000016
101011087,42711087,0,0,1,1,1,迷宫武器,火,火之,雷荧剑,雷荧剑,human_robot_icon_atlas_0,42701004,42701090,900000016
